systematic gene name	gene expression [RPM]	gene length[nt]	gene expression [RPKM]	quality tag
YAL001C	1198.3883742553182	3483	344.06786513216144	included
YAL002W	530.321292055511	3825	138.64608942627737	included
YAL003W	92014.18781638493	621	148170.99487340567	included
YAL004W	0.0	648	0.0	excluded
YAL005C	157557.07841179127	1929	81678.1121885906	included
YAL007C	2000.7576018458008	648	3087.588891737347	included
YAL008W	595.750542374049	597	997.907106154186	included
YAL009W	175.62588243396823	780	225.1613877358567	excluded
YAL010C	385.6882124040083	1482	260.24845641296105	included
YAL011W	323.7026068390787	1878	172.36560534562233	included
YAL012W	29460.380867109605	1185	24861.080900514433	included
YAL013W	688.728950721445	1218	565.4589086382964	included
YAL014C	413.237370432866	768	538.0694927511275	included
YAL015C	316.81531733186426	1200	264.0127644432202	included
YAL016C-A	6.887289507214436	315	21.86441113401408	excluded
YAL016C-B	0.0	186	0.0	excluded
YAL016W	5702.675711973602	1908	2988.8237484138376	included
YAL017W	1456.661730775862	4071	357.81423010952153	included
YAL018C	3.443644753607218	978	3.521109155017605	excluded
YAL019W	2964.978132855839	3396	873.0795444216251	included
YAL019W-A	0.0	570	0.0	excluded
YAL020C	334.0335410999003	1002	333.3668074849304	included
YAL021C	3464.306622128889	2514	1378.0058162803855	included
YAL022C	864.354833155414	1554	556.2128913484003	included
YAL023C	7448.603602052479	2280	3266.931404408982	included
YAL024C	829.9183856193422	4308	192.64586481414628	included
YAL025C	2737.6975791177515	921	2972.527230312434	included
YAL026C	1663.2804159922969	4068	408.8693254651664	included
YAL026C-A	141.18943489789592	438	322.35030798606374	excluded
YAL027W	182.5131719411827	786	232.20505336028333	excluded
YAL028W	86.09111884018043	1587	54.24771193458124	excluded
YAL029C	2568.958986191005	4416	581.7389008584704	included
YAL030W	785.1510038224466	354	2217.9406887639734	included
YAL031C	633.6306346637286	2283	277.54298496002133	included
YAL031W-A	0.0	309	0.0	excluded
YAL032C	340.92083060711474	1140	299.0533601816796	included
YAL033W	519.9903577946897	522	996.1501107177962	included
YAL034C	48.211026550501046	1242	38.81725165096703	excluded
YAL034C-B	0.0	354	0.0	excluded
YAL034W-A	258.27335652054165	870	296.86592703510536	included
YAL035W	24143.39336753954	3009	8023.72660935179	included
YAL036C	4776.335273253242	1110	4303.004750678596	included
YAL037C-A	0.0	93	0.0	excluded
YAL037C-B	0.0	975	0.0	excluded
YAL037W	13.774579014428872	804	17.132560963219987	excluded
YAL038W	585061.4690588517	1503	389262.4544636406	included
YAL039C	554.426805330762	810	684.4775374453852	included
YAL040C	619.8560556492995	1743	355.62596422794	included
YAL041W	1670.1677054995102	2565	651.137507017353	included
YAL042C-A	0.0	378	0.0	excluded
YAL042W	3216.364199869162	1248	2577.2149037413155	included
YAL043C	1677.0549950067252	2358	711.2192514871608	included
YAL044C	6498.157650056844	513	12666.973976718995	included
YAL044W-A	478.6666207514031	333	1437.4372995537633	included
YAL045C	0.0	309	0.0	excluded
YAL046C	509.6594235338684	357	1427.6174328679788	included
YAL047C	320.25896208547147	1869	171.35310973005429	included
YAL047W-A	0.0	330	0.0	excluded
YAL048C	444.2301732153308	1989	223.34347572414822	included
YAL049C	1243.155756052209	741	1677.6730850907004	included
