systematic gene name	gene expression [RPM]	gene length[nt]	gene expression [RPKM]	quality tag
YAL001C	1026.374110094426	3483	294.6810537164588	included
YAL002W	788.8480421532522	3825	206.23478226228818	included
YAL003W	107361.78270940979	621	172885.31837264056	included
YAL004W	0.0	648	0.0	excluded
YAL005C	165246.23172520052	1929	85664.19477719051	included
YAL007C	492.4852417862817	648	760.0080891763606	included
YAL008W	193.9433031813237	597	324.8631544075774	included
YAL009W	74.09070009174174	780	94.98807704069453	excluded
YAL010C	285.46710917700415	1482	192.6228806862376	included
YAL011W	479.4104123583272	1878	255.27710988196338	included
YAL012W	19335.493585706696	1185	16316.872224225059	included
YAL013W	1285.6915604155215	1218	1055.5759937730063	included
YAL014C	385.70746812465467	768	502.2232657873108	included
YAL015C	294.1836621289737	1200	245.15305177414476	included
YAL016C-A	0.0	315	0.0	excluded
YAL016C-B	0.0	186	0.0	excluded
YAL016W	3562.891019117606	1908	1867.3433014243217	included
YAL017W	1806.5055992957182	4071	443.74984016107055	included
YAL018C	2.1791382379924036	978	2.228157707558695	excluded
YAL019W	2309.8865322719694	3396	680.1786019646553	included
YAL019W-A	4.358276475984807	570	7.6460990806751	excluded
YAL020C	592.7256007339333	1002	591.5425157025282	included
YAL021C	4168.691449279503	2514	1658.190711726135	included
YAL022C	152.53967665946817	1554	98.15938008974786	included
YAL023C	1667.0407520642013	2280	731.158224589562	included
YAL024C	906.5215070048424	4308	210.42746216454094	included
YAL025C	3068.2266390933137	921	3331.4078600361713	included
YAL026C	998.0453130005242	4068	245.34053908567458	included
YAL026C-A	43.58276475984808	438	99.50402913207324	excluded
YAL027W	189.58502670533886	786	241.20232405259398	included
YAL028W	54.478455949810105	1587	34.32794955879654	excluded
YAL029C	3499.696010215841	4416	792.5036255017756	included
YAL030W	128.56915604155185	354	363.1897063320674	excluded
YAL031C	570.9342183540084	2283	250.08069135085782	included
YAL031W-A	0.0	309	0.0	excluded
YAL032C	394.42402107662394	1140	345.9859834005473	included
YAL033W	318.15418274689017	522	609.4907715457666	included
YAL034C	139.46484723151383	1242	112.29053722344108	included
YAL034C-B	0.0	354	0.0	excluded
YAL034W-A	130.74829427954424	870	150.28539572361407	excluded
YAL035W	14099.024399811005	3009	4685.617946098706	included
YAL036C	5205.961250563885	1110	4690.055180688185	included
YAL037C-A	0.0	93	0.0	excluded
YAL037C-B	0.0	975	0.0	excluded
YAL037W	6.537414713977211	804	8.131112828329863	excluded
YAL038W	608332.5887944365	1503	404745.5680601707	included
YAL039C	845.5056363410544	810	1043.8341189395733	included
YAL040C	527.35145359416	1743	302.55390338161794	included
YAL041W	1749.8480051079127	2565	682.2019513091277	included
YAL042C-A	0.0	378	0.0	excluded
YAL042W	1209.4217220857915	1248	969.087918337974	included
YAL043C	1181.0929249918856	2358	500.8875848142008	included
YAL044C	3397.2765130301664	513	6622.371370429174	included
YAL044W-A	132.92743251753663	333	399.1814790316415	excluded
YAL045C	0.0	309	0.0	excluded
YAL046C	305.079353318936	357	854.5640148989804	included
YAL047C	196.12244141931606	1869	104.93442558550886	included
YAL047W-A	0.0	330	0.0	excluded
YAL048C	479.41041235832705	1989	241.03087599714783	included
YAL049C	660.278886111699	741	891.0646236325223	included
YAL051W	1168.0180955639346	3144	371.50702785112423	included
YAL053W	431.4693711224943	2352	183.4478618718088	included
YAL054C	19.612244141931633	2142	9.156043016774804	excluded
YAL055W	82.80725304371136	543	152.49954520020506	excluded
YAL056C-A	2.1791382379924036	351	6.208371048411406	excluded
YAL056W	623.2335360658267	2643	235.80534849255645	included
YAL058W	132.92743251753666	1509	88.08974984594875	excluded
YAL059C-A	0.0	423	0.0	excluded
YAL059W	331.22901217484457	639	518.3552616194751	included
YAL060W	2983.2402478116146	1149	2596.379676076253	included
YAL061W	89.34466775768857	1254	71.24774143356345	excluded
YAL062W	281.10883270101965	1374	204.59158129622972	included
